424.26,424.26,0
589.43,231.46,0
720.81,14.22,0
805.88,-224.99,0
817.74,-478.59,0
707.11,-707.11,0
478.59,-817.74,0
224.99,-805.88,0
-14.22,-720.81,0
-231.46,-589.43,0
-424.26,-424.26,0
-589.43,-231.46,0
-720.81,-14.22,0
-805.88,224.99,0
-817.74,478.59,0
-707.11,707.11,0
-478.59,817.74,0
-224.99,805.88,0
14.22,720.81,0
231.46,589.43,0
424.26,424.26,0
358.57,358.57,20
528.52,152.13,20
650.62,-85.75,20
696.51,-349.18,20
597.61,-597.61,20
349.18,-696.51,20
85.75,-650.62,20
-152.13,-528.52,20
-358.57,-358.57,20
-528.52,-152.13,20
-650.62,85.75,20
-696.51,349.18,20
-597.61,597.61,20
-349.18,696.51,20
-85.75,650.62,20
152.13,528.52,20
358.57,358.57,20
277.75,277.75,40
445.02,60.22,40
536.38,-198.52,40
462.91,-462.91,40
198.52,-536.38,40
-60.22,-445.02,40
-277.75,-277.75,40
-445.02,-60.22,40
-536.38,198.52,40
-462.91,462.91,40
-198.52,536.38,40
60.22,445.02,40
277.75,277.75,40
160.36,160.36,60
289.56,-34.51,60
267.26,-267.26,60
34.51,-289.56,60
-160.36,-160.36,60
-289.56,34.51,60
-267.26,267.26,60
-34.51,289.56,60
160.36,160.36,60
